age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
30,2,345898,11,9,4,2,1,2,1,0,0,46,38,0
39,4,107233,11,9,4,2,2,0,1,0,0,40,38,0
54,5,197184,9,13,2,3,0,4,1,0,0,38,38,0
34,2,185041,11,9,4,9,1,4,0,0,1669,45,38,0
19,2,307496,15,10,4,7,3,4,0,0,0,23,38,0
55,2,118993,15,10,5,3,4,4,0,0,0,10,38,0
32,2,198068,11,9,4,13,1,4,1,0,0,60,38,0
49,2,60751,11,9,2,10,0,4,1,0,0,40,38,0
50,2,182360,11,9,5,9,4,3,0,0,0,60,32,0
48,2,212120,11,9,2,6,0,4,1,0,0,40,38,1
37,0,214542,15,10,0,0,4,2,0,0,0,40,38,0
32,2,226883,11,9,2,2,0,4,1,0,0,40,10,0
39,2,192251,0,6,0,7,1,4,0,0,0,60,38,0
58,2,234328,9,13,0,11,1,4,1,0,0,40,38,0
23,2,314894,11,9,4,3,3,4,0,0,0,45,38,0
30,2,133602,9,13,0,3,1,4,1,0,0,40,38,0
19,2,128363,15,10,4,11,3,4,0,0,0,30,38,0
57,2,116878,3,2,2,5,0,4,1,0,0,40,21,0
42,2,168103,9,13,2,3,0,4,1,0,0,40,38,1
29,2,181822,9,13,4,11,1,4,1,0,0,40,38,0
43,3,602513,12,14,2,3,0,4,1,0,0,50,38,1
30,2,111415,11,9,2,7,0,4,1,0,0,55,10,0
33,1,152351,15,10,2,10,0,4,1,3908,0,40,38,0
64,4,73986,5,4,2,2,0,4,1,0,0,20,38,0
36,2,106964,11,9,2,6,0,4,1,0,0,40,38,0
28,2,194472,15,10,2,0,3,4,0,0,0,40,38,0
26,2,274724,15,10,4,7,2,4,1,0,0,40,26,0
36,2,356838,10,16,2,9,0,4,1,0,0,50,1,0
29,2,112031,11,9,0,2,1,4,0,0,0,50,38,0
60,2,52152,12,14,4,9,1,4,1,0,0,50,38,0
51,2,392286,11,9,2,13,0,4,1,0,0,40,38,1
38,2,167140,14,15,2,9,0,4,1,99999,0,70,38,1
34,2,340880,11,9,2,9,0,4,1,0,0,60,29,1
50,2,301024,9,13,5,11,1,4,1,0,0,40,38,1
39,2,175972,15,10,2,7,5,4,0,0,0,15,38,0
39,2,76417,12,14,2,9,0,4,1,0,0,40,38,1
